Hotel_Name,Hotel_Rating,City,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Stars
The Oakwood,4,pune,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,3333,4
Sheraton Grand Pune Bund Garden Hotel,4.5,pune,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9435,5
Pratikruti The Lakeview Resort,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1284,3
Hotel Centro,4.4,pune,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,2607,3.545108005
St Laurn Hotel,3.9,pune,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,4381,4
Cherry Tree | Rooms & Wi-Fi,3.6,pune,1 bedroom,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center,1588,3
Fairfield by Marriott Pune Kharadi,4.3,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,7280,4
Sunny's World,4.2,pune,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549,3.545108005
Novotel Chennai Sipcot,4.7,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5145,5
Park Plaza Chennai OMR,4.1,chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4704,5
Avenue 11 Boutique Residences | Rooms & Caretaker,4,chennai,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,3853,8
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,chennai,Sleeps 10,4 bedrooms,7 bathrooms,Air conditioning,Pool,Kitchen,Smoke-free,Free parking,9753,3.545108005
Juhu Beach House ECR,4.5,chennai,Free parking,Pool,Air conditioning,Beach access,Kitchen,Full-service laundry,0,0,4965,3.545108005
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,3677,3.545108005
VGP Golden Beach Resort,3.9,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Beach access,4267,2
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,3366,3.545108005
Turyaa Chennai,4.3,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,3797,5
Blue Lagoon Beach Resort,3.9,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,6402,3
Fairfield by Marriott Chennai OMR,4.2,chennai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3707,4
Four Points by Sheraton Chennai OMR,4.2,chennai,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,5053,4
"Taj Club House, Chennai",4.4,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,7552,5
"Vivanta Chennai, IT Expressway",4.3,chennai,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,5485,5
Ilara Hotels & Spa,4.6,chennai,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4234,3
Maroma Suites,4.5,chennai,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,3795,3.545108005
The Madras Grand - Hotel Egmore,4.5,chennai,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,4974,3.545108005
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,chennai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,3859,2
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7825,4
ट्राइडेंट होटल,4.6,delhi,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,12272,5
Nu Delhi Homestay - Deluxe Double Room,4.6,delhi,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Crib,Fitness center,Heating,1999,3.545108005
The Leela Ambience Convention Hotel Delhi,4.5,delhi,Free breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9809,5
Hotel City Park- Hotels in Delhi,4.2,delhi,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5376,4
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,delhi,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,1212,3.545108005
JRD Pride,4.4,delhi,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4720,3
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Fitness center,Spa,Bar,7285,5
IIDL Suites,4.3,delhi,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5720,5
Park Inn by Radisson New Delhi IP Extension,4.3,delhi,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6828,4
IIDL Suites,3.8,delhi,Sleeps 10,Air conditioning,Airport shuttle,Elevator,Fireplace,Fitness center,Hot tub,Kitchen,6163,3.545108005
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",4.5,delhi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8141,5
Sarovar Portico Naraina,3.9,delhi,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,4536,3
Hyatt Centric Janakpuri New Delhi,3.8,delhi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7484,5
"Taj Palace, New Delhi",4.7,delhi,Breakfast,Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,15050,5
The Pamposh,3.7,delhi,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Full-service laundry,Business center,Kid-friendly,0,3931,3
Caves by Craftels,4.7,delhi,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Spa,Restaurant,Room service,5040,3.545108005
Bloomrooms @ Janpath,4.4,delhi,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,6451,3
